"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime"
"101","J4lXeph60-4","2022-08-03T01:33:19Z","UCeY0bbntWzzVIaj2z3QigXg","Watch: Elderly California Liquor Store Owner Shoots Armed Robber","Surveillance video shows an elderly California liquor store owner shooting an armed gunman who came to rob him.","https://i.ytimg.com/vi/J4lXeph60-4/default.jpg","120","90","https://i.ytimg.com/vi/J4lXeph60-4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/J4lXeph60-4/hqdefault.jpg","480","360","NBC News","none","2022-08-03T01:33:19Z"
"102","D6qqptCR9IA","2021-01-29T19:59:46Z","UCeY0bbntWzzVIaj2z3QigXg","Former Republican Voter After Capitol Riot: I Want No Association With This Party Anymore | NBC News","A former Republican voter speaks to NBC News' Maura Barrett about why he left the GOP after the Capitol riot as data from key ...","https://i.ytimg.com/vi/D6qqptCR9IA/default.jpg","120","90","https://i.ytimg.com/vi/D6qqptCR9IA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/D6qqptCR9IA/hqdefault.jpg","480","360","NBC News","none","2021-01-29T19:59:46Z"
"103","TUXuDC9AVO4","2021-05-20T07:00:10Z","UCeY0bbntWzzVIaj2z3QigXg","Black Indianapolis Owner&#39;s Home Value Doubles After Concealing Race","One Black Indianapolis homeowner shares her experience with racism in real estate after her home value more than doubles ...","https://i.ytimg.com/vi/TUXuDC9AVO4/default.jpg","120","90","https://i.ytimg.com/vi/TUXuDC9AVO4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/TUXuDC9AVO4/hqdefault.jpg","480","360","NBC News","none","2021-05-20T07:00:10Z"
"104","IuiF6U-TFvQ","2022-05-27T05:00:06Z","UCeY0bbntWzzVIaj2z3QigXg","Battlefield Space | NBC News NOW Special","Meet the war-fighters of the future. Correspondent Tom Costello goes inside Space Force, the newest branch of the U.S. Military, ...","https://i.ytimg.com/vi/IuiF6U-TFvQ/default.jpg","120","90","https://i.ytimg.com/vi/IuiF6U-TFvQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/IuiF6U-TFvQ/hqdefault.jpg","480","360","NBC News","none","2022-05-27T05:00:06Z"
"105","zXkGZ52eSLs","2022-02-16T05:30:08Z","UCeY0bbntWzzVIaj2z3QigXg","U.S. Suspends Mexican Avocado Imports Due To Organized Crime","The Mexican government confirms a farmer with fields on the front lines between warring cartels was killed when his truck drove ...","https://i.ytimg.com/vi/zXkGZ52eSLs/default.jpg","120","90","https://i.ytimg.com/vi/zXkGZ52eSLs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zXkGZ52eSLs/hqdefault.jpg","480","360","NBC News","none","2022-02-16T05:30:08Z"
"106","WOeuaGfu-50","2023-10-20T18:05:38Z","UCeY0bbntWzzVIaj2z3QigXg","Sources say two American hostages released by Hamas","Three sources with direct knowledge of the matter tell NBC News that Hamas has released two American hostages who had been ...","https://i.ytimg.com/vi/WOeuaGfu-50/default.jpg","120","90","https://i.ytimg.com/vi/WOeuaGfu-50/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WOeuaGfu-50/hqdefault.jpg","480","360","NBC News","none","2023-10-20T18:05:38Z"
"107","cILSasqMpeU","2023-10-21T02:10:38Z","UCeY0bbntWzzVIaj2z3QigXg","Nightly News Full Broadcast - Oct. 20","Our team is covering the latest updates on the Israel-Hamas war as two American hostages were released and more diplomatic ...","https://i.ytimg.com/vi/cILSasqMpeU/default.jpg","120","90","https://i.ytimg.com/vi/cILSasqMpeU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/cILSasqMpeU/hqdefault.jpg","480","360","NBC News","none","2023-10-21T02:10:38Z"
"108","AG_4gNyzACI","2023-10-20T17:45:00Z","UCeY0bbntWzzVIaj2z3QigXg","Jim Jordan fails on third vote for House speaker","Rep. Jim Jordan, R-Ohio, has failed to secure enough votes to become the next House speaker on the third round. NBC News' ...","https://i.ytimg.com/vi/AG_4gNyzACI/default.jpg","120","90","https://i.ytimg.com/vi/AG_4gNyzACI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AG_4gNyzACI/hqdefault.jpg","480","360","NBC News","none","2023-10-20T17:45:00Z"
"109","zZWvw9bF7H8","2022-06-18T02:00:11Z","UCeY0bbntWzzVIaj2z3QigXg","Nightly News Full Broadcast - June 17th","FDA authorizes Moderna and Pfizer Vaccines for children aged 6 months to 4 years, Many CEOs believe a recession will hit within ...","https://i.ytimg.com/vi/zZWvw9bF7H8/default.jpg","120","90","https://i.ytimg.com/vi/zZWvw9bF7H8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zZWvw9bF7H8/hqdefault.jpg","480","360","NBC News","none","2022-06-18T02:00:11Z"
"110","leErH0Ld-g4","2022-04-30T23:24:12Z","UCeY0bbntWzzVIaj2z3QigXg","NBC News Exclusive: How Military Equipment Travels From Dover Air Force Base to Ukraine","NBC News' Courtney Kube has an exclusive look into how billions of dollars in military equipment is transported from Dover Air ...","https://i.ytimg.com/vi/leErH0Ld-g4/default.jpg","120","90","https://i.ytimg.com/vi/leErH0Ld-g4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/leErH0Ld-g4/hqdefault.jpg","480","360","NBC News","none","2022-04-30T23:24:12Z"
"111","I03bLrR4kTw","2023-10-21T00:30:08Z","UCeY0bbntWzzVIaj2z3QigXg","Authorities search for suspect after Maryland judge fatally shot in his driveway","Maryland Circuit Court Judge Andrew Wilkinson was fatally shot in his driveway while his wife and son were in the house.","https://i.ytimg.com/vi/I03bLrR4kTw/default.jpg","120","90","https://i.ytimg.com/vi/I03bLrR4kTw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/I03bLrR4kTw/hqdefault.jpg","480","360","NBC News","none","2023-10-21T00:30:08Z"
"112","lietcrJy1MU","2023-10-20T18:00:18Z","UCeY0bbntWzzVIaj2z3QigXg","Maryland judge killed in &#39;targeted&#39; shooting","Police are searching for Pedro Argote, 49, a suspect in the fatal shooting of Circuit Court Judge Andrew Wilkinson. Wilkinson was ...","https://i.ytimg.com/vi/lietcrJy1MU/default.jpg","120","90","https://i.ytimg.com/vi/lietcrJy1MU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/lietcrJy1MU/hqdefault.jpg","480","360","NBC News","none","2023-10-20T18:00:18Z"
"113","PFhYbTJoI4w","2022-01-29T13:00:27Z","UCeY0bbntWzzVIaj2z3QigXg","California Cannabis Businesses Fear State&#39;s Legal Industry Could Collapse","Cannabis companies across California say they are struggling to survive due to high taxes and illegal competition. NBC News' ...","https://i.ytimg.com/vi/PFhYbTJoI4w/default.jpg","120","90","https://i.ytimg.com/vi/PFhYbTJoI4w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PFhYbTJoI4w/hqdefault.jpg","480","360","NBC News","none","2022-01-29T13:00:27Z"
"114","VXaxr6VyzUk","2022-06-04T03:00:18Z","UCeY0bbntWzzVIaj2z3QigXg","Realtors Had Billions In PPP Loans Forgiven As Housing Market Boomed","Many realtors took out PPP loans from the federal government and had them forgiven while the real estate industry boomed ...","https://i.ytimg.com/vi/VXaxr6VyzUk/default.jpg","120","90","https://i.ytimg.com/vi/VXaxr6VyzUk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/VXaxr6VyzUk/hqdefault.jpg","480","360","NBC News","none","2022-06-04T03:00:18Z"
"115","kFPgiqPKQMU","2022-02-03T00:34:50Z","UCeY0bbntWzzVIaj2z3QigXg","Major Winter Storm Hits Millions","A major winter storm is stretching from the Rockies to the Northeast. Parts of New Mexico have already been buried under 20 ...","https://i.ytimg.com/vi/kFPgiqPKQMU/default.jpg","120","90","https://i.ytimg.com/vi/kFPgiqPKQMU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/kFPgiqPKQMU/hqdefault.jpg","480","360","NBC News","none","2022-02-03T00:34:50Z"
"116","L5ph4qAOQZk","2022-07-01T23:32:24Z","UCeY0bbntWzzVIaj2z3QigXg","TikTok Users Are &#39;Doxxing&#39; Supreme Court Justices After Overturning Roe v. Wade","Thousands are taking to the streets to protest the Supreme Court's bombshell decision to abolish Roe v. Wade and overturn the ...","https://i.ytimg.com/vi/L5ph4qAOQZk/default.jpg","120","90","https://i.ytimg.com/vi/L5ph4qAOQZk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/L5ph4qAOQZk/hqdefault.jpg","480","360","NBC News","none","2022-07-01T23:32:24Z"
