"","channelId","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"28","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","And the brainwashing starts in 3...2...1.","And the brainwashing starts in 3...2...1.","Eduardo Segura","https://yt3.ggpht.com/ytc/APkrFKbjSIaAQM7yK75of92FyWCwKV_z8lV_xS4N8g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCk1GilPa19PRi9rhmtA3Odw","UCk1GilPa19PRi9rhmtA3Odw","TRUE","none","0","2022-12-03T02:04:00Z","2022-12-03T02:04:00Z","UgzKEhl1AjXOqM2dS_Z4AaABAg",NA,NA
"29","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","oh no..not the iphone productions!!! seriously lmfao","oh no..not the iphone productions!!! seriously lmfao","Undeserving VU","https://yt3.ggpht.com/ytc/APkrFKZ-J6b8z2QU50vUOanfb9zyNPMekMJaPbmtXTDDdw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCU3hNxLCDXzCR77QsbDs3Tg","UCU3hNxLCDXzCR77QsbDs3Tg","TRUE","none","0","2022-12-03T00:46:11Z","2022-12-03T00:46:11Z","UgwAfShWOJRXzFBD73Z4AaABAg",NA,NA
"30","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Time is going by quickly.<br>So Judgement day is fast approaching.<br>I tell u the Absolute Truth <br>People of the World u need to repent and seek God Almighty with all your heart .","Time is going by quickly.
So Judgement day is fast approaching.
I tell u the Absolute Truth 
People of the World u need to repent and seek God Almighty with all your heart .","Paul Charles","https://yt3.ggpht.com/ytc/APkrFKYdupaRNFNuyw2vLhPgKIxUbgyRer9N74aTbCFKjfkzKxjK9crs4JTKBXEOuF7B=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC5Mv_Jxi3I9PBq5s5XLbXcA","UC5Mv_Jxi3I9PBq5s5XLbXcA","TRUE","none","0","2022-12-02T22:33:26Z","2022-12-02T22:33:26Z","UgyrnqrkFwexqpty2wp4AaABAg",NA,NA
"31","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Black Friday is bad luck. Wait you will see.","Black Friday is bad luck. Wait you will see.","Andre Lacasse","https://yt3.ggpht.com/ytc/APkrFKayZGE_hKph2OWOeqIVdTJHIPoH5U8L2-PYh1kWJGZ9kYVfuaBZnv4_3v8RFlZG=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCK20yDUJa_cX8PBvPrgV_Bg","UCK20yDUJa_cX8PBvPrgV_Bg","TRUE","none","0","2022-12-02T21:26:55Z","2022-12-02T21:26:55Z","UgyVVy4wdxEXapjeiQZ4AaABAg",NA,NA
"32","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","PRAYING FOR THIS WORLD!","PRAYING FOR THIS WORLD!","John Russel Smurf","https://yt3.ggpht.com/9ESyJ5Wo_zT5HgVuCe0UkyGfoLucCrj3DWnDn_hc8Dv0YNXh_8ZH26ACYzOU7ICwJPnBqvTE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCPHXZClEbo2p_GpihUJBlug","UCPHXZClEbo2p_GpihUJBlug","TRUE","none","6","2022-12-02T20:11:01Z","2022-12-02T20:11:01Z","Ugx7iXIR2NnLdSoK-g54AaABAg",NA,NA
"33","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Wow","Wow","Donna Cribb","https://yt3.ggpht.com/RVFAR-S8BNqj-kLKnGgZK6fYxbZy6TyarcJCKGI-1Zifreafzf6m7wz-foEjJ6_VSvxzn64R=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC065jYk9RAXFtITWKDvPEsg","UC065jYk9RAXFtITWKDvPEsg","TRUE","none","0","2022-12-02T17:37:57Z","2022-12-02T17:37:57Z","UgwlqVIoQ9-O79WwGXV4AaABAg",NA,NA
"34","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Catfish or Child predator ???","Catfish or Child predator ???","Gsup M","https://yt3.ggpht.com/ytc/APkrFKavZ0MdFp5hVjoQo3T_hzr5V7O3czikcaDV0vAbGFI=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCrxrVD9DrPfRjf0GWexgtPA","UCrxrVD9DrPfRjf0GWexgtPA","TRUE","none","1","2022-12-02T16:33:12Z","2022-12-02T16:33:12Z","UgxI7p_MOK84wwqOjmV4AaABAg",NA,NA
"35","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","I wonder what the Union thinks about Biden now","I wonder what the Union thinks about Biden now","Mike Reed","https://yt3.ggpht.com/ytc/APkrFKaZOUbD_YmdjHV5fNv44-0FYTm-JwpHUdSHb8BQiw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCzzf-YCxT7AP9UTF_QJrZEQ","UCzzf-YCxT7AP9UTF_QJrZEQ","TRUE","none","0","2022-12-02T16:01:22Z","2022-12-02T16:01:22Z","UgxTaxIbd89sIuAyBEh4AaABAg",NA,NA
"36","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Apple using this as an excuse for their lack of innovation and sales 😂","Apple using this as an excuse for their lack of innovation and sales 😂","Julian Amado","https://yt3.ggpht.com/6wwz2NYWJIr-H_kLLo1GbD9Vrx8NeyY0XqKnskQbhyROlr24n7Ac0Hr2EjXXexbanojEOdHs=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UClR5j_q1W9SMz0Wx2jGGaQw","UClR5j_q1W9SMz0Wx2jGGaQw","TRUE","none","0","2022-12-02T08:23:35Z","2022-12-02T08:23:35Z","UgwGfK-zbUtYAu-DcYx4AaABAg",NA,NA
"37","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","SLC GROUP🌎","SLC GROUP🌎","SAMAMAHAL සාමමහල්","https://yt3.ggpht.com/7tjp2zQ0qHhHesMAfzpXp8KInfLuy9dwi9p1v-mbdEwX8lYT4EqWwAZuCkvFxSBVsaBU_Fl_wA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC-1ZApQOSAMpjkX18H19lQA","UC-1ZApQOSAMpjkX18H19lQA","TRUE","none","1","2022-12-02T07:46:08Z","2022-12-02T07:46:08Z","Ugz4urrFBmdFyvmH6yJ4AaABAg",NA,NA
