"","channelId","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"994","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Not for nothing but the segment about the sergeant helping the female with her baby The two police officers to the right of him what are those tattoos????","Not for nothing but the segment about the sergeant helping the female with her baby The two police officers to the right of him what are those tattoos????","Rick Rodappa","https://yt3.ggpht.com/ytc/APkrFKbP6zOtGAa2LPI-BNGmVXd-uFQ8MjNRJYPjgKuByg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCyOWGp6tAN6ES97MqLWjVtQ","UCyOWGp6tAN6ES97MqLWjVtQ","TRUE","none","0","2022-12-01T02:24:05Z","2022-12-01T02:24:05Z"
"995","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Don&#39;t speak for me , random guy. Not everyone cares what Trump does as though it reflects America. No, I don&#39;t want to shop on a screen, even with a personal sales rep.","Don't speak for me , random guy. Not everyone cares what Trump does as though it reflects America. No, I don't want to shop on a screen, even with a personal sales rep.","Danae","https://yt3.ggpht.com/h9mhB6mQeLo8JZgdYicp7rSz7dZ9iJtuxF1R5MjQai5Q3Q9DmhwQM2Sbnmp2555-VLVXUr7fNg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCmPMOHTuGBA6aAX_lytmXlw","UCmPMOHTuGBA6aAX_lytmXlw","TRUE","none","0","2022-12-01T02:13:06Z","2022-12-01T02:15:28Z"
"996","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Its the excuse for control.","Its the excuse for control.","Luis E. Rodriguez","https://yt3.ggpht.com/ytc/APkrFKZZnqP3BloaEI2WOvGMbxfkXsLW6-rdL61zNw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCZAROzRBsjSYWj9yaaB7Fzw","UCZAROzRBsjSYWj9yaaB7Fzw","TRUE","none","0","2022-12-01T02:00:20Z","2022-12-01T02:00:20Z"
"997","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","What is the protest about?","What is the protest about?","Luis E. Rodriguez","https://yt3.ggpht.com/ytc/APkrFKZZnqP3BloaEI2WOvGMbxfkXsLW6-rdL61zNw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCZAROzRBsjSYWj9yaaB7Fzw","UCZAROzRBsjSYWj9yaaB7Fzw","TRUE","none","0","2022-12-01T01:58:21Z","2022-12-01T01:58:21Z"
"998","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","to add up the sores of delivery u could also joined the midwifery section of the hospital, 😂😂","to add up the sores of delivery u could also joined the midwifery section of the hospital, 😂😂","GC Richard","https://yt3.ggpht.com/ytc/APkrFKYtTByBzcdOEb-qmHoCr-CdNtGXNdTDpLq8dn0xJA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCiQ3B-JiF15N3SuAm_6d_Xw","UCiQ3B-JiF15N3SuAm_6d_Xw","TRUE","none","0","2022-12-01T01:50:06Z","2022-12-01T01:50:06Z"
"999","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","One thing I know is this?! Just because you’re Work at Law Enforcement” doesn’t mean a Gotdamm thing! They are Terrorist, murders/ Killing “I can’t Breathe and on and on! <a href=""http://www.youtube.com/results?search_query=%23defund"">#Defund</a> the 🐷 cop 👮🏻‍♂️","One thing I know is this?! Just because you’re Work at Law Enforcement” doesn’t mean a Gotdamm thing! They are Terrorist, murders/ Killing “I can’t Breathe and on and on! #Defund the 🐷 cop 👮🏻‍♂️","Earlica Harris Harris","https://yt3.ggpht.com/3UQejiJgqr6hYFB3PeJzUmASxs4J2mjRL9rsq6BwFIVKDjTNMcv3vDlKcoqTFOdySPe2dJej=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCv-c2NfQYv0VK1vunl8BKFw","UCv-c2NfQYv0VK1vunl8BKFw","TRUE","none","0","2022-12-01T01:48:09Z","2022-12-01T01:48:09Z"
"1000","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","For someone thought to be believing in reincarnation(Budism),it is strange that their president are so afraid to die,that the whole population must be punished,to relieve him of his fear..","For someone thought to be believing in reincarnation(Budism),it is strange that their president are so afraid to die,that the whole population must be punished,to relieve him of his fear..","Allan Mogensen","https://yt3.ggpht.com/ytc/APkrFKbnOzAthnAJpmID_OpPcWUi0db6z7u5DxFvOQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCo11WFbEsM49wwMxQmWy9Bw","UCo11WFbEsM49wwMxQmWy9Bw","TRUE","none","0","2022-12-01T01:46:17Z","2022-12-01T01:46:17Z"
"1001","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Wow","Wow","Donna Cribb","https://yt3.ggpht.com/ytc/APkrFKYVImsOoOWzFoDJ1UQDKjxtO2INwVwne4OHBFZ76G3_5oalIDl36Ih9fXGjaqui=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCkKfDIliWA_-0Ce4gdgnSSw","UCkKfDIliWA_-0Ce4gdgnSSw","TRUE","none","0","2023-02-27T23:22:33Z","2023-02-27T23:22:33Z"
"1002","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Yes","Yes","Adnaan","https://yt3.ggpht.com/ytc/APkrFKZ4kljiGT2VNnBMzqIC80_qVWvlM2PSJkvx5HBs3KVdERsKCx8Xt_Ix1KaS_HZJ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCJ8XNImBmbf96bKWteB-mIw","UCJ8XNImBmbf96bKWteB-mIw","TRUE","none","0","2022-12-29T09:51:28Z","2022-12-29T09:51:28Z"
"1003","UCeY0bbntWzzVIaj2z3QigXg","to0YqKKRIWY","Yes","Yes","Adnaan","https://yt3.ggpht.com/ytc/APkrFKZ4kljiGT2VNnBMzqIC80_qVWvlM2PSJkvx5HBs3KVdERsKCx8Xt_Ix1KaS_HZJ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCJ8XNImBmbf96bKWteB-mIw","UCJ8XNImBmbf96bKWteB-mIw","TRUE","none","0","2022-12-29T09:51:17Z","2022-12-29T09:51:17Z"
